id,date,ticker,emo_label,senti_label,original,processed,,,,,
100001,2020/1/1,AMZN,excitement,bullish,$AMZN Dow futures up by 100 points already ?•≥,Amazon Dow futures up by 100 points already  [partying face],,,,,
100002,2020/1/1,TSLA,excitement,bullish,$TSLA Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! ?çª,Tesla Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020!  [clinking beer mugs],,,,,
100003,2020/1/1,AAPL,confusion,bullish,$AAPL We?ôll been riding since last December from $172.12 what to do. Decisions decisions hmm ??. I have 20 mins to decide. Any suggestions?,Apple We?ôll been riding since last December from $172.12 what to do. Decisions decisions hmm  [thinking face] . I have 20 mins to decide. Any suggestions?,,,,,
100004,2020/1/1,TSLA,excitement,bullish,"$TSLA happy new year, 2020, everyone?ç∑????","Tesla happy new year, 2020, everyone [wine glass]  [party popper]  [folded hands] ",,,,,
100005,2020/1/1,TSLA,excitement,bullish,"$TSLA haha just a collection of greats...""Mars"" rofl ???????´?Æ?∏?è?™?Ä?????ì£???? *bork*","Tesla haha just a collection of greats...""Mars"" rofl  [smiling face with horns]  [smiling face with sunglasses]  [shooting star]  [fast up button]  [crystal ball]  [money with wings]  [clapping hands]  [flexed biceps]  [rocket]  [fireworks]  [sparkler]  [megaphone]  [party popper]  [confetti ball]  *bork*",,,,,
100006,2020/1/1,TSLA,surprise,bullish,"$TSLA NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH?ò±","Tesla NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH [face screaming in fear] ",,,,,
100007,2020/1/2,AAPL,amusement,bullish,$AAPL $300 calls First trade of 2020 Congrats to all bulls ??,Apple $300 calls First trade of 2020 Congrats to all bulls  [smiling face with horns],,,,,
100008,2020/1/2,AAPL,anxiety,bullish,"$AAPL Remember, if you short every day, one of those days you will be right ??","Apple Remember, if you short every day, one of those days you will be right  [smirking face] ",,,,,
100009,2020/1/2,AAPL,optimism,bullish,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet ??","Apple called it, the bear comment below makes me chuckle inside. So sweeet  [winking face with tongue] ",,,,,
100010,2020/1/2,HD,optimism,bullish,$HD Bought more at today's low. She is turning. Stars aligned.??,Home Depot Bought more at today's low. She is turning. Stars aligned. [crossed fingers],,,,,
100011,2020/1/2,AAPL,belief,bullish,Apple is taking things UP in 2020 ???? $AAPL,Apple is taking things UP in 2020  [rocket]   Apple,,,,,
100012,2020/1/2,AAPL,optimism,bullish,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though ????,Apple not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though  [money mouth face],,,,,
100013,2020/1/2,AAPL,disgust,bullish,$AAPL where are all the peeps posting bearish since $200?§£,Apple where are all the peeps posting bearish since $200 [rolling on the floor laughing],,,,,
100014,2020/1/3,NVDA,belief,bullish,$NVDA This should be at least 300 already ???íπ?í∏?í∏,NVIDIA This should be at least 300 already  [thinking face]  [chart increasing with yen]  [money with wings],,,,,
100015,2020/1/3,AAPL,optimism,bullish,$AAPL tomorrow buy time on the dip then green ?????í∞,Apple tomorrow buy time on the dip then green  [whale]  [classical building]  [money bag],,,,,
100016,2020/1/3,AAPL,ambiguous,bullish,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. ??,Apple Thanks for that dip. Let the bears talk their gibberish and ignore it.  [grinning squinting face],,,,,
100017,2020/1/3,AAPL,belief,bullish,$AAPL leave enough red to buy calls at open ??,Apple leave enough red to buy calls at open  [folded hands],,,,,
100018,2020/1/3,AAPL,anxiety,bullish,$AAPL short this bears ??????. Never go against Apple.,Apple short this bears  [middle finger]   . Never go against Apple.,,,,,
